col0,col1,col2,col3,col4
Yellowfin cutthroat trout,Salmonidae,Oncorhynchus clarki,TNC,GX
Tecopa pupfish,Cyprinodontidae,Cyprinodon nevadensis,ESA,EX
Shoshone pupfish,Cyprinodontidae,Cyprinodon nevadensis,IUCN2.3,EN
Sheepshead minnow,Cyprinodontidae,Cyprinodon variegatus,IUCN3.1,LC
Sea trout,Salmonidae,Salmo trutta,iucn3.1,LC
Salmo trutta fario,Salmonidae,Salmo trutta,iucn3.1,LC
Redfin pickerel,Esocidae,Esox americanus,IUCN3.1,LC
Oncorhynchus masou formosanus,Salmonidae,Oncorhynchus masou,IUCN2.3,CR
Montana Arctic grayling,Salmonidae,Thymallus arcticus,iucn3.1,LC
Mohave tui chub,Cyprinidae,Gila bicolor,ESA,LE
