col0,col1,col2,col3
1932 Italian Grand Prix,Italy,Alfa Romeo in motorsport,9994
1932 German Grand Prix,Germany,Alfa Romeo in motorsport,22810
1932 French Grand Prix,France,Alfa Romeo in motorsport,7826
1931 German Grand Prix,Germany,Mercedes-Benz,22809
1930 Rome Grand Prix,Italy,Maserati in motorsport,13050
1930 Monza Grand Prix,Italy,Maserati in motorsport,6860
1928 Italian Grand Prix,Italy,Bugatti,9994
1926 French Grand Prix,France,Bugatti,5000
1925 Italian Grand Prix,Italy,Alfa Romeo in motorsport,9994
1924 Italian Grand Prix,Italy,Alfa Romeo in motorsport,9994
1923 Italian Grand Prix,Italy,Fiat,9994
1923 French Grand Prix,France,Sunbeam Motor Car Company,22830
1922 Italian Grand Prix,Italy,Fiat,9994
